"","gathering.size","t.recovery","outbreak.size"
"1",1,48,10
"2",1,96,10
"3",1,144,10
"4",1,192,10
"5",1,240,10
"6",1,288,10
"7",1,336,10
"8",1,384,10
"9",1,432,10
"10",1,480,10
"11",1,528,10
"12",1,576,10
"13",1,624,10
"14",1,672,10
"15",1,720,10
"16",1,768,10
"17",1,816,10
"18",1,864,10
"19",1,912,10
"20",1,960,10
"21",2,48,10
"22",2,96,11
"23",2,144,10
"24",2,192,12
"25",2,240,10
"26",2,288,11
"27",2,336,11
"28",2,384,11
"29",2,432,13
"30",2,480,11
"31",2,528,16
"32",2,576,10
"33",2,624,11
"34",2,672,11
"35",2,720,11
"36",2,768,12
"37",2,816,12
"38",2,864,12
"39",2,912,13
"40",2,960,12
"41",3,48,10
"42",3,96,13
"43",3,144,11
"44",3,192,10
"45",3,240,12
"46",3,288,12
"47",3,336,18
"48",3,384,11
"49",3,432,12
"50",3,480,16
"51",3,528,13
"52",3,576,27
"53",3,624,27
"54",3,672,23
"55",3,720,18
"56",3,768,19
"57",3,816,22
"58",3,864,44
"59",3,912,21
"60",3,960,87
"61",4,48,11
"62",4,96,15
"63",4,144,11
"64",4,192,12
"65",4,240,22
"66",4,288,15
"67",4,336,19
"68",4,384,34
"69",4,432,27
"70",4,480,27
"71",4,528,34
"72",4,576,40
"73",4,624,124
"74",4,672,223
"75",4,720,49
"76",4,768,251
"77",4,816,186
"78",4,864,301
"79",4,912,422
"80",4,960,444
"81",5,48,11
"82",5,96,11
"83",5,144,29
"84",5,192,18
"85",5,240,38
"86",5,288,33
"87",5,336,134
"88",5,384,56
"89",5,432,152
"90",5,480,512
"91",5,528,465
"92",5,576,661
"93",5,624,675
"94",5,672,744
"95",5,720,742
"96",5,768,810
"97",5,816,864
"98",5,864,830
"99",5,912,870
"100",5,960,867
"101",6,48,18
"102",6,96,24
"103",6,144,15
"104",6,192,23
"105",6,240,278
"106",6,288,327
"107",6,336,387
"108",6,384,664
"109",6,432,726
"110",6,480,796
"111",6,528,836
"112",6,576,862
"113",6,624,886
"114",6,672,911
"115",6,720,900
"116",6,768,935
"117",6,816,940
"118",6,864,950
"119",6,912,964
"120",6,960,976
"121",7,48,10
"122",7,96,32
"123",7,144,51
"124",7,192,66
"125",7,240,603
"126",7,288,737
"127",7,336,772
"128",7,384,853
"129",7,432,868
"130",7,480,908
"131",7,528,936
"132",7,576,933
"133",7,624,961
"134",7,672,980
"135",7,720,982
"136",7,768,986
"137",7,816,979
"138",7,864,991
"139",7,912,994
"140",7,960,988
"141",8,48,17
"142",8,96,26
"143",8,144,112
"144",8,192,572
"145",8,240,756
"146",8,288,838
"147",8,336,862
"148",8,384,907
"149",8,432,952
"150",8,480,941
"151",8,528,973
"152",8,576,970
"153",8,624,979
"154",8,672,983
"155",8,720,995
"156",8,768,989
"157",8,816,993
"158",8,864,996
"159",8,912,999
"160",8,960,1000
"161",9,48,10
"162",9,96,105
"163",9,144,543
"164",9,192,717
"165",9,240,821
"166",9,288,904
"167",9,336,931
"168",9,384,958
"169",9,432,965
"170",9,480,978
"171",9,528,987
"172",9,576,992
"173",9,624,993
"174",9,672,997
"175",9,720,997
"176",9,768,998
"177",9,816,995
"178",9,864,1000
"179",9,912,1000
"180",9,960,998
"181",10,48,17
"182",10,96,403
"183",10,144,689
"184",10,192,840
"185",10,240,902
"186",10,288,951
"187",10,336,976
"188",10,384,982
"189",10,432,988
"190",10,480,987
"191",10,528,996
"192",10,576,995
"193",10,624,994
"194",10,672,998
"195",10,720,998
"196",10,768,999
"197",10,816,998
"198",10,864,1000
"199",10,912,1000
"200",10,960,999
"201",11,48,36
"202",11,96,595
"203",11,144,855
"204",11,192,888
"205",11,240,946
"206",11,288,955
"207",11,336,975
"208",11,384,987
"209",11,432,995
"210",11,480,994
"211",11,528,999
"212",11,576,998
"213",11,624,999
"214",11,672,999
"215",11,720,1000
"216",11,768,999
"217",11,816,1000
"218",11,864,1000
"219",11,912,1000
"220",11,960,1000
"221",12,48,37
"222",12,96,672
"223",12,144,872
"224",12,192,936
"225",12,240,952
"226",12,288,979
"227",12,336,995
"228",12,384,999
"229",12,432,990
"230",12,480,999
"231",12,528,999
"232",12,576,998
"233",12,624,999
"234",12,672,1000
"235",12,720,1000
"236",12,768,998
"237",12,816,1000
"238",12,864,999
"239",12,912,1000
"240",12,960,1000
"241",13,48,57
"242",13,96,789
"243",13,144,903
"244",13,192,937
"245",13,240,963
"246",13,288,983
"247",13,336,993
"248",13,384,999
"249",13,432,996
"250",13,480,998
"251",13,528,1000
"252",13,576,999
"253",13,624,1000
"254",13,672,1000
"255",13,720,1000
"256",13,768,1000
"257",13,816,999
"258",13,864,1000
"259",13,912,1000
"260",13,960,1000
"261",14,48,274
"262",14,96,812
"263",14,144,936
"264",14,192,963
"265",14,240,974
"266",14,288,988
"267",14,336,994
"268",14,384,1000
"269",14,432,999
"270",14,480,999
"271",14,528,1000
"272",14,576,999
"273",14,624,1000
"274",14,672,1000
"275",14,720,1000
"276",14,768,1000
"277",14,816,1000
"278",14,864,1000
"279",14,912,1000
"280",14,960,1000
"281",15,48,15
"282",15,96,861
"283",15,144,959
"284",15,192,979
"285",15,240,993
"286",15,288,998
"287",15,336,996
"288",15,384,997
"289",15,432,1000
"290",15,480,1000
"291",15,528,1000
"292",15,576,1000
"293",15,624,1000
"294",15,672,1000
"295",15,720,1000
"296",15,768,1000
"297",15,816,1000
"298",15,864,1000
"299",15,912,1000
"300",15,960,1000
"301",16,48,548
"302",16,96,898
"303",16,144,956
"304",16,192,980
"305",16,240,989
"306",16,288,999
"307",16,336,998
"308",16,384,1000
"309",16,432,1000
"310",16,480,1000
"311",16,528,999
"312",16,576,1000
"313",16,624,1000
"314",16,672,1000
"315",16,720,1000
"316",16,768,1000
"317",16,816,1000
"318",16,864,1000
"319",16,912,1000
"320",16,960,1000
"321",17,48,706
"322",17,96,908
"323",17,144,978
"324",17,192,985
"325",17,240,995
"326",17,288,999
"327",17,336,1000
"328",17,384,1000
"329",17,432,1000
"330",17,480,1000
"331",17,528,1000
"332",17,576,1000
"333",17,624,1000
"334",17,672,1000
"335",17,720,1000
"336",17,768,1000
"337",17,816,1000
"338",17,864,1000
"339",17,912,1000
"340",17,960,1000
"341",18,48,761
"342",18,96,941
"343",18,144,976
"344",18,192,996
"345",18,240,997
"346",18,288,1000
"347",18,336,998
"348",18,384,1000
"349",18,432,1000
"350",18,480,1000
"351",18,528,1000
"352",18,576,1000
"353",18,624,1000
"354",18,672,1000
"355",18,720,1000
"356",18,768,1000
"357",18,816,1000
"358",18,864,1000
"359",18,912,1000
"360",18,960,1000
"361",19,48,768
"362",19,96,934
"363",19,144,977
"364",19,192,994
"365",19,240,998
"366",19,288,998
"367",19,336,999
"368",19,384,1000
"369",19,432,1000
"370",19,480,1000
"371",19,528,1000
"372",19,576,1000
"373",19,624,1000
"374",19,672,1000
"375",19,720,1000
"376",19,768,1000
"377",19,816,1000
"378",19,864,1000
"379",19,912,1000
"380",19,960,1000
"381",20,48,843
"382",20,96,965
"383",20,144,990
"384",20,192,999
"385",20,240,995
"386",20,288,999
"387",20,336,1000
"388",20,384,1000
"389",20,432,1000
"390",20,480,1000
"391",20,528,1000
"392",20,576,1000
"393",20,624,1000
"394",20,672,1000
"395",20,720,1000
"396",20,768,1000
"397",20,816,1000
"398",20,864,1000
"399",20,912,1000
"400",20,960,1000
