"","gatherings.per.hour","outbreak.size"
"1",0.2,916
"2",0.2,931
"3",0.2,911
"4",0.2,917
"5",0.2,889
"6",0.2,916
"7",0.2,926
"8",0.2,915
"9",0.2,914
"10",0.2,910
"11",0.4,890
"12",0.4,904
"13",0.4,922
"14",0.4,907
"15",0.4,898
"16",0.4,895
"17",0.4,912
"18",0.4,914
"19",0.4,914
"20",0.4,916
"21",0.6,909
"22",0.6,905
"23",0.6,915
"24",0.6,920
"25",0.6,912
"26",0.6,915
"27",0.6,907
"28",0.6,914
"29",0.6,919
"30",0.6,915
"31",0.8,917
"32",0.8,904
"33",0.8,910
"34",0.8,888
"35",0.8,915
"36",0.8,918
"37",0.8,901
"38",0.8,933
"39",0.8,898
"40",0.8,909
"41",1,912
"42",1,928
"43",1,920
"44",1,898
"45",1,894
"46",1,895
"47",1,886
"48",1,905
"49",1,907
"50",1,904
"51",1.2,908
"52",1.2,899
"53",1.2,906
"54",1.2,898
"55",1.2,902
"56",1.2,881
"57",1.2,908
"58",1.2,900
"59",1.2,918
"60",1.2,919
"61",1.4,905
"62",1.4,917
"63",1.4,904
"64",1.4,906
"65",1.4,910
"66",1.4,905
"67",1.4,912
"68",1.4,906
"69",1.4,901
"70",1.4,911
"71",1.6,906
"72",1.6,902
"73",1.6,912
"74",1.6,899
"75",1.6,909
"76",1.6,899
"77",1.6,889
"78",1.6,924
"79",1.6,919
"80",1.6,900
"81",1.8,884
"82",1.8,895
"83",1.8,900
"84",1.8,914
"85",1.8,914
"86",1.8,906
"87",1.8,903
"88",1.8,923
"89",1.8,910
"90",1.8,903
"91",2,901
"92",2,906
"93",2,919
"94",2,922
"95",2,911
"96",2,916
"97",2,919
"98",2,905
"99",2,899
"100",2,913
"101",2.2,908
"102",2.2,906
"103",2.2,913
"104",2.2,917
"105",2.2,894
"106",2.2,901
"107",2.2,906
"108",2.2,894
"109",2.2,927
"110",2.2,900
"111",2.4,920
"112",2.4,912
"113",2.4,893
"114",2.4,898
"115",2.4,917
"116",2.4,909
"117",2.4,897
"118",2.4,900
"119",2.4,908
"120",2.4,915
"121",2.6,895
"122",2.6,893
"123",2.6,902
"124",2.6,919
"125",2.6,914
"126",2.6,913
"127",2.6,902
"128",2.6,887
"129",2.6,913
"130",2.6,911
"131",2.8,921
"132",2.8,916
"133",2.8,921
"134",2.8,915
"135",2.8,908
"136",2.8,888
"137",2.8,924
"138",2.8,920
"139",2.8,903
"140",2.8,920
"141",3,912
"142",3,914
"143",3,908
"144",3,934
"145",3,909
"146",3,916
"147",3,907
"148",3,883
"149",3,897
"150",3,917
"151",3.2,910
"152",3.2,919
"153",3.2,909
"154",3.2,909
"155",3.2,902
"156",3.2,928
"157",3.2,919
"158",3.2,903
"159",3.2,926
"160",3.2,913
"161",3.4,905
"162",3.4,894
"163",3.4,909
"164",3.4,914
"165",3.4,914
"166",3.4,923
"167",3.4,917
"168",3.4,920
"169",3.4,908
"170",3.4,901
"171",3.6,915
"172",3.6,914
"173",3.6,909
"174",3.6,913
"175",3.6,928
"176",3.6,914
"177",3.6,914
"178",3.6,905
"179",3.6,899
"180",3.6,907
"181",3.8,907
"182",3.8,916
"183",3.8,905
"184",3.8,916
"185",3.8,894
"186",3.8,906
"187",3.8,913
"188",3.8,913
"189",3.8,917
"190",3.8,909
"191",4,915
"192",4,901
"193",4,905
"194",4,916
"195",4,905
"196",4,902
"197",4,926
"198",4,916
"199",4,929
"200",4,916
